STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/9/73,0.03,0,0,66,40,47
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/9/73,0,0,0,67,44,65
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/9/73,0,0,0,67,47,61
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/10/73,0,0,0,68,41,46
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/10/73,0,0,0,65,41,58
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/10/73,0,0,0,62,40,57
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/11/73,0.03,0,0,62,38,45
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/11/73,0.1,0,0,58,44,53
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/11/73,0.1,0,0,57,43,53
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/12/73,0.1,0,0,72,44,59
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/12/73,0,0,0,73,47,58
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/12/73,0,0,0,74,50,58
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/13/73,0,0,0,73,44,49
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/13/73,0,0,0,66,43,64
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/13/73,0,0,0,65,42,62
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/14/73,0,0,0,66,42,47
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/14/73,0.02,0,0,70,44,69
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/14/73,0,0,0,70,44,64
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/15/73,0.04,0,0,72,45,67
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/15/73,0.08,0,0,70,45,70
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/15/73,0.01,0,0,67,45,67
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/16/73,0,0,0,71,,62
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/16/73,0.04,0,0,70,59,66
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,3/16/73,0.01,0,0,70,60,67
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,3/17/73,0.49,0,0,71,46,47
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,3/17/73,1.2,0,0,73,52,53
